language,country,main_group,subgroup,product-name,product-number,file-path
fr,FR,control-systems,self-acting-controls,2-voies,s21-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/2-voies-ti-s21-07-fr.ashx?rev=38b3f119649a4d528743e6b201082738
de,DE,control-systems,pneumatic-actuators,200_600_4000,12148,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/200_600_4000-ti-12148-de.ashx?rev=3cdeb9ee2dbb4fecba1110a31cf7b30e
de,CH,control-systems,pneumatic-actuators,200_600_4000,12148,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/200_600_4000-ti-12148-de.ashx?rev=3cdeb9ee2dbb4fecba1110a31cf7b30e
de,CH,control-systems,pneumatic-actuators,200_series_dr,12146,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/200_series_dr-ti-12146-de.ashx?rev=c0b47f6045f64a0cb8797583555671d3
de,DE,control-systems,pneumatic-actuators,200_series_dr,12146,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/200_series_dr-ti-12146-de.ashx?rev=c0b47f6045f64a0cb8797583555671d3
de,CH,control-systems,pneumatic-actuators,200_series_tr,12145,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/200_series_tr-ti-12145-de.ashx?rev=703587de6e1942bd9f819deb88fed520
de,DE,control-systems,pneumatic-actuators,200_series_tr,12145,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/200_series_tr-ti-12145-de.ashx?rev=703587de6e1942bd9f819deb88fed520
fr,CH,control-systems,self-acting-controls,37d-37de,p102-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/37d-37de-ti-p102-01-fr.ashx?rev=454ec015093a46958f6089693a6bb4df
fr,FR,control-systems,self-acting-controls,37d-37de,p102-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/37d-37de-ti-p102-01-fr.ashx?rev=454ec015093a46958f6089693a6bb4df
it,IT,control-systems,self-acting-controls,37d_37de,p102-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/37d_37de-ti-p102-01-it.ashx?rev=e48322d46dfc4f1bb1309a05897cb796
it,CH,control-systems,self-acting-controls,37d_37de,p102-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/37d_37de-ti-p102-01-it.ashx?rev=e48322d46dfc4f1bb1309a05897cb796
de,DE,control-systems,pneumatic-actuators,4000series_dr,12143,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/4000series_dr-ti-12143-de.ashx?rev=3150f66f9484404b8f24b8aee1e41fea
de,CH,control-systems,pneumatic-actuators,4000series_dr,12143,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/4000series_dr-ti-12143-de.ashx?rev=3150f66f9484404b8f24b8aee1e41fea
de,DE,control-systems,pneumatic-actuators,4000series_tr,12147,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/4000series_tr-ti-12147-de.ashx?rev=8c32d213960445da8a79a0601d18a141
de,CH,control-systems,pneumatic-actuators,4000series_tr,12147,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/4000series_tr-ti-12147-de.ashx?rev=8c32d213960445da8a79a0601d18a141
de,DE,control-systems,pneumatic-actuators,600_series,12141,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/600_series-ti-12141-de.ashx?rev=51d33ab690534a1680469912c358db01
de,DE,control-systems,pneumatic-actuators,600_series,12142,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/600_series-ti-12142-de.ashx?rev=9d248c7614094c71a8bbdb4980c6d59b
fr,FR,control-systems,self-acting-controls,accessoires_pour_regulateur_de_temperature,p033-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/accessoires_pour_regulateur_de_temperature-ti-p033-01-fr.ashx?rev=a8713524a01d4e7089d1d1ae1c5c95e0
fr,CH,control-systems,self-acting-controls,accessoires_pour_regulateur_de_temperature,p033-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/accessoires_pour_regulateur_de_temperature-ti-p033-01-fr.ashx?rev=a8713524a01d4e7089d1d1ae1c5c95e0
fr,FR,pipeline-ancillaries,air-vents-and-air-eliminators,ae10s,p149-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae10s-ti-p149-07-fr.ashx?rev=c562629314ae4eda8fe8b7efe772f2da
fr,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae10s,p149-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae10s-ti-p149-07-fr.ashx?rev=c562629314ae4eda8fe8b7efe772f2da
it,IT,pipeline-ancillaries,air-vents-and-air-eliminators,ae14,p149-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/ae14-ti-p149-01-it.ashx?rev=ca578ea16d2248e780ce01e7ad420545
fr,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae14,p149-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae14-ti-p149-01-fr.ashx?rev=15e93fdc44d94108a56ae5b76dfa07b4
fr,FR,pipeline-ancillaries,air-vents-and-air-eliminators,ae14,p149-01,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae14-ti-p149-01-fr.ashx?rev=15e93fdc44d94108a56ae5b76dfa07b4
de,DE,pipeline-ancillaries,air-vents-and-air-eliminators,ae14e_ae14,4013,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ae14e_ae14-ti-4013-de.ashx?rev=62bcd086815e472fbf7b952b1438b565
de,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae14e_ae14,4013,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ae14e_ae14-ti-4013-de.ashx?rev=62bcd086815e472fbf7b952b1438b565
it,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae30,p017-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/ae30-ti-p017-07-it.ashx?rev=f067dfb8c37143098d76ac35802eb245
it,IT,pipeline-ancillaries,air-vents-and-air-eliminators,ae30,p017-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/ae30-ti-p017-07-it.ashx?rev=f067dfb8c37143098d76ac35802eb245
fr,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae30,p017-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae30-ti-p017-07-fr.ashx?rev=9cc8a53b12bf48b9bcc55141c2aa3983
fr,FR,pipeline-ancillaries,air-vents-and-air-eliminators,ae30,p017-07,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae30-ti-p017-07-fr.ashx?rev=9cc8a53b12bf48b9bcc55141c2aa3983
fr,FR,pipeline-ancillaries,air-vents-and-air-eliminators,ae30,p017-16,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae30-ti-p017-16-fr.ashx?rev=6532fd11a5f74be19d33eee30b18296b
fr,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae30,p017-16,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/fr/ti/ae30-ti-p017-16-fr.ashx?rev=6532fd11a5f74be19d33eee30b18296b
de,CH,pipeline-ancillaries,air-vents-and-air-eliminators,ae30_ae30a,40011,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ae30_ae30a-ti-40011-de.ashx?rev=5b579431af274df98c3c5e810b458ece
de,DE,pipeline-ancillaries,air-vents-and-air-eliminators,ae30_ae30a,40011,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/de/ti/ae30_ae30a-ti-40011-de.ashx?rev=5b579431af274df98c3c5e810b458ece
it,IT,pipeline-ancillaries,air-vents-and-air-eliminators,ae30lv,p017-16,https://content.spiraxsarco.com/-/media/spiraxsarco/international/documents/it/ti/ae30lv-ti-p017-16-it.ashx?rev=02c583d3573440e6bbce427959d2b501
