Link;Title;Type;Status;Language;Issue
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/P402_132/iss_5/p402_132.pdf;LC1350 Level Controller;TI;Obsolete;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/P402_133/iss_5/p402_133.pdf;LC2250 Level Controller;TI;Obsolete;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p405_42.pdf;VHT Vent Heads;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p409_03.pdf;Dial Thermometers;TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p475_01.pdf;Direct Contact Desuperheaters;TI;Released;English;4
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p475_06.pdf;Desuperheater Online Program Sizing Guidance;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/s24_59.pdf;Balanced and Multi-stage Trim Options for Spira-trol Two-port Control Valves;TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p051_02.pdf;MR1, MRN1, MR2 and MR3 Spirax-Monnier Miniature Compressed Air Regulators;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p357_23.pdf;PN1000 and PN2000 Series Pneumatic Actuators for C Series Control Valves;TI;Released;English;4
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p357_25.pdf;"PN1000 and PN2000 Pneumatic Actuators Closing Pressures for 5"" to 8"" 'C' Series Valves";TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/P370_02/iss_4/p370_021.pdf;RB11 and RB31 Switchboxes;TI;Obsolete;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/s13_50.pdf;Pressure / Temperature Limits for Safety Valves;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/s21_03.pdf;Normally Open Self-acting Control Valve Body Range;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_11.pdf;Condensate Pipe Sizing;TI;Released;English;2
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_13.pdf;Heating Formulas;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f21_20.pdf;UKAS Accredited Calibration Datasheet for Spirax Sarco Flowmeters;TI;Released;English;2
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p134_50.pdf;DCV3, DCV3LT and DCV3 Food+ Disc Check Valves;TI;Released;English;11
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_03.pdf;Conversion Tables;TI;Released;English;6
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f01_27.pdf;Steam Trap International Standards;TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/F12_25/iss_4/f12_25.pdf;"CE83 5"" (DN125) to 8"" (DN200) Alloy Steel Cage Design, Two-Port Control Valve";TI;Obsolete;English;4
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f12_22.pdf;'C' Series Valve Spares;TI;Released;English;4
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/F12_20/iss_6/f12_20.pdf;"CE83 1"" (DN25) to 4"" (DN100) Alloy Steel Cage Design, Two-Port Control Valves";TI;Obsolete;English;6
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_01.pdf;Dry Saturated Steam Tables;TI;Released;English;6
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f12_21.pdf;"CE43 1"" (DN25) to 4"" (DN100) Carbon Steel Cage Design, Two-Port Control Valves";TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f12_23.pdf;'C' Series Valve Options;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_10.pdf;Flow of Water in Heavy Steel Pipes;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/F12_34/iss_4/f12_34.pdf;"CE63 1"" (DN25) to 4"" (DN100) Stainless Steel Cage Design, Two-Port Control Valves";TI;Obsolete;English;4
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/F12_33/iss_4/f12_33.pdf;"CE63 5"" (DN125) to 8"" (DN200) Stainless Steel Cage Design, Two-Port Control Valves";TI;Obsolete;English;4
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_07.pdf;SSG (Steam to Steam Generator) Compact Clean Steam Generators;TI;Released;English;1
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_02.pdf;Pressure/Temperature Limits;TI;Released;English;7
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_09.pdf;Water Valve Sizing Chart;TI;Released;English;2
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f12_24.pdf;"CE43 5"" (DN125) to 8"" (DN200) Carbon Steel Cage Design, Two-Port Control Valve";TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gmi_19.pdf;Flowmeter Selection Guide;TI;Released;English;1
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p001_07.pdf;LRV2B and LRV2S Gunmetal Pressure Reducing Valves;TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p005_05.pdf;IBPS32 Stainless Steel Balanced Pressure Thermostatic Steam Trap with Integral Spiratec Sensor;TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p005_03.pdf;BPS32 and BPS32Y Stainless Steel Balanced Pressure Thermostatic Steam Traps;TI;Released;English;5
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p005_10.pdf;BPC32F and BPC32YF Carbon Steel Integrally Flanged Balanced Pressure Thermostatic Steam Traps;TI;Released;English;2
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/gcm_08.pdf;Saturated Steam Sizing Chart;TI;Released;English;2
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/f01_37.pdf;Piping Installation Diagrams for Compact Steam Trapping Stations;TI;Released;English;3
https://spiraxsarco.sharepoint.com/sites/SBD_HUB_Literature/TI/p001_09.pdf;LRV2 Pressure Reducing Valve Capacities;TI;Released;English;3
